"learning_language_string","created","admin","avatar","rupees","deactivated","facebook_id","site_streak","learning_language","daily_goal","num_followers","fullname","id","twitter_id","num_following","gplus_id","username","_id"
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/33347764/30Bu4n_e45",23,false,"100002098448200",0,"en","null",5,"Milena Toselli",33347764,"null",0,"null","mihtoselli",225
"Spanish","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/24530840/iJVbztFDdR",37,false,"1463133194",0,"es",20,9,"Marlon Dos Santos Furukawa",24530840,"null",11,"null","Marlon.Fur",226
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/24628972/kH2LNmywaD",37,false,"1509052362",0,"en",50,7,"Marisa Fraga",24628972,"null",1,"null","marisafraga",227
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/25692278/sZE4hcSl1H",0,false,"100002002277302",0,"en","null",2,"Marcella Tavano",25692278,"null",0,"null","marcella.t5",228
"English","1 year ago",false,"//duolingo-images.s3.amazonaws.com/avatars/85589003/Z3mvdlHRDE",16,false,"100004693860035",0,"en",30,2,"Mari Eta",85589003,"null",0,"null","MariEta440063",229
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/10079775/K22aP-L0KG",80,false,"1240855159",0,"en",50,4,"Luiz Philipe",10079775,"null",0,"null","luiz.phili",230
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/7112442/gyQ_zLTv1N",29,false,"100002346983622",0,"en","null",4,"Lucas Marques",7112442,"null",0,"null","lucas.marq3",231
"English","3 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",21,false,"100000068997649",0,"en","null",6,"null",4536880,"null",0,"null","LetiiciaLeh",232
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/23326081/cKrt2YlzAd",2,false,"100002459032629",0,"en","null",6,"Leonardo Sardinha",23326081,"null",2,"null","leonardo.s309712",233
"Spanish","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/32726408/TyZtTaVKjA",12,false,"100000111576838",0,"es",50,1,"Leonardo de Andrade",32726408,"null",0,"null","Leo.Andrade",234
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/4031736/zHabMtfrR4",10,false,"100000471280497",0,"en","null",12,"null",4031736,"null",0,"null","lcrisp",235
"German","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/7017981/8Dp9BAYEux",43,false,"100002031698273",0,"de",20,13,"Larissa Rezende",7017981,"null",0,"null","larissa.re5",236
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/14225968/z0-TV-498Q",28,false,"1621043061",0,"en",50,48,"Kauê Lemos",14225968,"null",86,"null","kauelemos",237
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/6751225/uJkCxMgszr",0,false,"100001829836018",0,"en","null",13,"Karen Silva",6751225,"null",0,"null","KarenSilva8",238
"French","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/27781848/lwPZhVN3uN",13,false,"719315879",0,"fr","null",15,"Juliana da Mata",27781848,"null",0,"null","julianadamata7",239
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/41187065/d51XFWYyoi",1,false,"100001233646303",0,"en","null",3,"Juliana Paula",41187065,"null",0,"null","JulianaPau8",240
"English","2 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",0,false,"100002897248627",0,"en","null",2,"Joilton Sena",41309169,"null",0,"null","JoiltonSen",241
"English","1 year ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",27,false,"100001074350574",0,"en",20,2,"Jessica Sardinha",88966529,"null",0,"null","SardinhaJessica",242
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/7058472/1Ux74Z2WBI",3,false,"100002118525138",0,"en","null",13,"Sos Selvagens",7058472,"null",0,"null","sos.selvag",243
"Italian","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/9597022/9Zm0mtCGwr",335,false,"1236714452",0,"it",10,26,"Igor Agustini Zanin",9597022,"null",49,"null","IgorZanin",244
"Spanish","2 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",35,false,"100001593646701",0,"es",20,4,"null",17843414,"null",0,"null","panterissima",245
"German","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/10435173/EjNdo8-Kit",0,false,"100001831441513",0,"de","null",18,"null",10435173,"null",0,"null","Menetrie",246
"German","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/26720690/fUmmIwdfe4",46,false,"1477722717",0,"de","null",4,"Gabriela Dias",26720690,"null",0,"null","gabysd",247
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/25421404/7lI5mPHKwX",34,false,"100000420545926",0,"en",20,5,"Fernanda Ramos",25421404,"null",0,"null","FeCarolina",248
"French","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/10739401/mElIBFkqrk",0,false,"1539076307",0,"fr","null",13,"null",10739401,"null",12,"null","FelipeKevorkian",249
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/10473567/kjaXoArvWX",0,false,"100001181093766",0,"en","null",4,"null",10473567,"null",0,"null","erika0105",250
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/20177992/SAywdoziGS",8,false,"1452490044",0,"en","null",3,"Eduardo Yanagishita",20177992,"null",0,"null","eduyanagis",251
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/25898529/HshZn4XDHl",9,false,"100000291924996",0,"en","null",4,"Ewandro Sallum",25898529,"null",1,"null","ewandrum",252
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/9798957/Px6Pld0W0H",3,false,"100000628487480",0,"en","null",2,"null",9798957,"null",0,"null","eduardoalves646",253
"German","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/15396014/j__BSJVBkd",3,false,"1194952133",0,"de","null",9,"Danielle Veras",15396014,"null",0,"null","daninha13",254
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/34019255/7mT3ZgZa34",0,false,"100001688776216",0,"en",30,4,"Davi Dorna",34019255,"null",0,"null","davisdorna",255
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/6786444/3uc72sfsB2",16,false,"100001682885981",0,"en","null",12,"Cauã Scn",6786444,"null",0,"null","caua.scn",256
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/6863415/syz7wq81JD",59,false,"862565105",0,"en",30,15,"null",6863415,"null",3,"116566296306927042626","cesarspo",257
"Spanish","1 year ago",false,"//duolingo-images.s3.amazonaws.com/avatars/87468328/WOqmDzNVQR",9,false,"10205059962557108",0,"es",50,3,"Caue",87468328,"null",1,"null","cauemotta",258
"English","2 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",14,false,"100001821300232",0,"en","null",6,"null",30327793,"null",0,"null","carol.or",259
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/3994378/XEkJ5I-NgR",34,false,"100001340207809",0,"en","null",1,"Carlão Anderson Mendes",3994378,"null",0,"null","carlao.and",260
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/10087354/IAubLhSDLP",26,false,"100001961814691",0,"en",20,6,"null",10087354,"null",0,"null","dudubera",261
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/12381729/Nxn8-eEA7z",0,false,"100001452447211",0,"en","null",3,"null",12381729,"null",0,"null","carlosbatata",262
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/15658512/UJzPi6To9X",28,false,"100001181977135",0,"en",20,3,"Camila Rodrigues",15658512,"null",0,"null","rodriguescam",263
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/5760706/WAzAuP6TLo",0,false,"1361416265",0,"en","null",11,"Camila Mesquita",5760706,"null",0,"null","CamilaMesq",264
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/35992503/AqOofZkRLl",16,false,"100002636612715",0,"en",20,9,"Bárbara Giannatempo",35992503,"null",0,"null","BrbaraGian",265
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/2507986/oidSqspxAR",0,false,"1704002215",0,"en","null",23,"Bruno Pere",2507986,"null",2,"null","BrunoPere",266
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/9992662/QQ3tAY1AkU",30,false,"702942865",0,"en","null",25,"Bruna Ayalla Lopes",9992662,"null",0,"null","brunaayall",267
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/31995531/m0O2bd0W-s",3,false,"1726521945",0,"en",20,12,"Bruna Ribeiro",31995531,"null",56,"null","bruna.ribeiro3",268
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/5584962/Ui1CogGyfn",78,false,"100000684524482",0,"en","null",2,"null",5584962,"null",0,"null","Binahf",269
"Italian","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/16451086/D-OPRAP2oy",1,false,"1461345616",0,"it","null",5,"Andrezza Mansour",16451086,"null",0,"null","AndrezzaMansour",270
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/17845741/ACshnCWTij",28,false,"1597136638",0,"en","null",10,"Deia Gouvea",17845741,"null",0,"null","deiagva",271
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/876499/EnaZgBvW7c",10,false,"1795879005",0,"en","null",11,"null",876499,"null",2,"null","Amandaneri22",272
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/7563912/q0hnS6YMHy",23,false,"100000741619384",0,"en","null",8,"Allison Jun Taguchi Kawaoku",7563912,"null",0,"null","allison.ka",273
"English","3 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",3,false,"100000487581186",0,"en","null",10,"Aline Ribeiro",1435427,"null",0,"100489481898106710127","AlineRibei544161",274
"English","1 year ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",8,false,"100000629937485",0,"en",50,3,"Adalberto Tex Junior",75020917,"null",0,"null","AdalbertoT7",275
"Portuguese","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/18400161/r0ky9i5gJH",60,false,"709747459",0,"pt",20,2,"Olivia Wong Ortegon",18400161,"null",2,"null","olivia.won",276
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/37085225/rOqHGdfqg3",2,false,"100005120647105",0,"en","null",1,"Layane Santos",37085225,"null",11,"null","Layane_Santos",277
"English","1 year ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",68,false,"null",0,"en",10,13,"null",71364295,"null",128,"null","rtsg3",278
"English","9 months ago",false,"//duolingo-images.s3.amazonaws.com/avatars/153411649/E1QP7l3k8k",16,false,"778101615629099",0,"en",50,1,"Diego Santos",153411649,"null",1,"null","DiegoSanto776094",279
"English","8 months ago",false,"//duolingo-images.s3.amazonaws.com/avatars/157368182/8_vTAgEXI5",108,false,"778101615629099",0,"en",50,3,"Diego",157368182,"null",7,"104057225532776075855","Diego906471",280
"English","1 year ago",false,"//duolingo-images.s3.amazonaws.com/avatars/124960297/khzJpKgflf",282,false,"10206828882297844",1,"en",20,7,"Daniel",124960297,"null",19,"null","DanielLucasfilho",281
"English","3 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",14,false,"100000759669275",0,"en","null",4,"null",1001887,"null",0,"null","Alex.maciel",282
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/12864979/VmKNZavfHv",17,false,"100000198280668",0,"en","null",7,"null",12864979,"null",0,"null","andreosi",283
"German","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/20879569/Va8rY1Dq_R",43,false,"100001193114174",0,"de",30,4,"Cleidson Alves",20879569,"null",0,"null","cleidson.d",284
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/22199476/CLfXywvgRX",4,false,"100002267248608",0,"en","null",3,"Lux de Oliveira",22199476,"null",0,"null","LuxFOlivei",285
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/24992693/cNtFfjkFrH",169,false,"100002077066328",0,"en",20,9,"Greice Souza",24992693,"null",1,"101070663981734580734","tucamd",286
"English","2 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",43,false,"null",0,"en","null",5,"Telma Magalhães",31110354,"null",4,"null","telminhaa",287
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/27648277/U6xgDlRlW3",717,false,"null",0,"en",20,110,"monique",27648277,"null",114,"109723211507340178722","Monique.mf",288
"English","1 year ago",false,"//duolingo-images.s3.amazonaws.com/avatars/115568026/zqySAtwIsq",32,false,"138375533171293",0,"en",1,135,"Natanael da Luz",115568026,"null",373,"null","NatanaeldaLuz0",291
